,model,metric,fold,value
243,MultiLayerPerceptron,balanced_accuracy,3,0.7318518518518519
244,MultiLayerPerceptron,balanced_accuracy,4,0.5881481481481481
245,MultiLayerPerceptron,balanced_accuracy,5,0.7448148148148148
246,MultiLayerPerceptron,balanced_accuracy,6,0.6177777777777778
247,MultiLayerPerceptron,balanced_accuracy,7,0.6692592592592592
248,MultiLayerPerceptron,balanced_accuracy,8,0.6138461538461539
249,MultiLayerPerceptron,balanced_accuracy,9,0.6407692307692308
250,MultiLayerPerceptron,mcc,0,0.39446993708322725
251,MultiLayerPerceptron,mcc,1,0.34444444444444444
252,MultiLayerPerceptron,mcc,2,0.23659846994187425
253,MultiLayerPerceptron,mcc,3,0.4511777625672017
254,MultiLayerPerceptron,mcc,4,0.2181101016938586
255,MultiLayerPerceptron,mcc,5,0.5044185153893525
256,MultiLayerPerceptron,mcc,6,0.2291925375341376
257,MultiLayerPerceptron,mcc,7,0.3529299526817895
258,MultiLayerPerceptron,mcc,8,0.2962370845394112
259,MultiLayerPerceptron,mcc,9,0.29868844171608855
260,MultiLayerPerceptron,tn_rate,0,0.5974025974025974
261,MultiLayerPerceptron,tn_rate,1,0.5454545454545454
262,MultiLayerPerceptron,tn_rate,2,0.4675324675324675
263,MultiLayerPerceptron,tn_rate,3,0.4935064935064935
264,MultiLayerPerceptron,tn_rate,4,0.5714285714285714
265,MultiLayerPerceptron,tn_rate,5,0.5584415584415584
266,MultiLayerPerceptron,tn_rate,6,0.44155844155844154
267,MultiLayerPerceptron,tn_rate,7,0.5324675324675324
268,MultiLayerPerceptron,tn_rate,8,0.6052631578947368
269,MultiLayerPerceptron,tn_rate,9,0.5394736842105263
270,MultiLayerPerceptron,fp_rate,0,0.05194805194805195
271,MultiLayerPerceptron,fp_rate,1,0.1038961038961039
272,MultiLayerPerceptron,fp_rate,2,0.18181818181818182
273,MultiLayerPerceptron,fp_rate,3,0.15584415584415584
274,MultiLayerPerceptron,fp_rate,4,0.07792207792207792
275,MultiLayerPerceptron,fp_rate,5,0.09090909090909091
